Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
26.98,19.017,10.459349438509008
19.35,0.717,9.796350599932538
29.860000000000003,8.05,12.617216058182159
32.08,45.9,14.102843826042466
29.01,24.117,11.192875696372276
28.59,8.1,13.871507434648692
29.65,11.85,11.16280363942947
20.12,5.9,11.571155114607961
25.830000000000002,9.883,6.711602897674645
31.54,4.083,10.761611313797147
26.919999999999998,3.767,10.572000981951625
46.27,3.0,3.5621969440525874
29.74,1.217,10.332012406491138
34.21,0.333,9.846015511097583
23.490000000000002,8.567,13.53345138991854
25.830000000000002,13.7,11.34456169106565
21.71,44.933,6.737888808718026
30.28,9.467,9.4230659107929
24.36,5.383,10.69132872275982
50.03,21.75,15.292668532494673
20.79,2.683,7.46339517919855
0.0,3.017,11.976405019190835
22.95,10.717,10.08905464872852
21.79,9.883,10.077951357584062
17.47,5.617,13.134412686139022
23.64,0.9,10.756372815497237
47.660000000000004,6.25,13.524576871465968
27.52,15.05,11.263264780902055
39.94,7.033,6.156720886752922
20.229999999999997,3.85,11.617760908243206
24.12,4.933,8.55561365404192
23.549999999999997,0.467,10.758462095732618
47.489999999999995,16.717,15.221923553790958
26.150000000000002,1.217,9.640660283746122
30.81,21.3,10.233783412395354
43.739999999999995,1.65,8.744548574118944
24.36,3.95,10.788948911431518
25.169999999999998,35.733,10.994724206336883
25.939999999999998,9.35,11.343798120809602
16.0,13.4,10.420066568344858
18.41,11.917,10.072351186884148
30.57,8.717,10.684102963938827
27.39,38.217,9.346579044253417
27.72,7.683,9.32721789623745
22.13,2.583,13.540923299995526
46.37,20.067,11.295097103405865
13.23,31.15,9.340044921921184
14.66,2.233,8.623589269543196
34.949999999999996,1.75,10.539464791723994
22.240000000000002,15.733,8.715229619448955
18.53,11.967,11.866201354889483
43.99,7.167,4.510401647160499
17.99,13.4,13.16888114560171
61.44,32.633,16.048986075704683
36.17,1.717,6.396627591427809
44.64,9.067,6.960964302099882
34.42,0.567,8.408691853732918
22.95,11.383,9.009687979648504
31.1,2.833,9.00448506002553
22.44,9.467,13.5614718046752
27.52,12.4,13.898202139426019
15.96,6.2,9.424344632391609
27.16,9.133,8.41075763977799
19.89,29.167,11.16927064301099
