,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
363,541,0.0,,8.3,In Person,Carryout,14.97,1.55
364,541,-0.017,,6.233,In Person,Carryout,7.99,0.84
365,541,0.0,,9.75,In Person,Carryout,13.37,2.12
366,541,0.0,,9.083,In Person,Carryout,18.29,0.0
367,541,-0.017,,9.05,In Person,Carryout,5.49,0.0
368,541,-0.017,,8.517,In Person,Carryout,19.76,0.0
369,541,-0.017,,8.3,In Person,Carryout,13.88,0.0
370,541,0.0,,8.717,In Person,Carryout,17.5,0.0
371,541,-0.017,,6.55,In Person,Carryout,11.09,0.0
372,541,0.0,,14.733,In Person,Carryout,11.98,0.0
373,541,0.0,,8.683,In Person,Carryout,17.09,1.35
374,541,-0.017,,7.75,In Person,Carryout,12.49,1.32
375,541,9.817,,18.717,Uber Eats,Delivery,32.76,0.0
376,541,19.617,,29.633,Uber Eats,Delivery,14.06,0.0
377,541,20.5,,30.833,Uber Eats,Delivery,50.07,0.0
378,541,10.25,,18.4,Mobile Web,Carryout,36.18,4.86
379,541,227.1,,234.767,Mobile Web,Carryout,9.58,1.44
380,541,34.45,,41.667,Mobile Web,Carryout,19.99,1.68
381,541,-0.017,,9.717,Mobile Web,Carryout,14.09,0.0
382,541,52.8,,59.05,Mobile Web,Carryout,36.44,7.29
383,541,37.7,,45.0,Mobile Web,Carryout,15.04,0.0
384,541,10.5,,17.117,Mobile Web,Carryout,14.09,0.0
385,541,5.05,,13.483,Mobile Web,Carryout,19.38,2.91
386,541,0.333,,8.35,Mobile Web,Carryout,14.09,0.0
387,541,5.083,,12.85,Mobile Web,Carryout,5.49,0.0
388,541,0.167,,15.417,Mobile Web,Carryout,53.45,0.0
389,541,281.183,,293.767,Mobile Web,Carryout,28.18,3.66
390,541,4.417,18.533,12.183,Mobile Web,Delivery,34.75,0.0
391,541,6.867,32.45,24.35,Mobile Web,Delivery,25.25,4.59
392,541,1.6,,10.1,Mobile Web,Delivery,47.85,5.57
393,541,6.367,,14.933,Mobile Web,Delivery,26.97,4.4
394,541,1.583,22.8,13.633,Mobile Web,Delivery,23.08,2.71
395,541,0.433,,9.733,Mobile Web,Delivery,40.35,8.84
396,541,5.217,28.467,12.933,Mobile Web,Delivery,22.88,3.58
